dataset,model_type,past,coupling_layers,channels,hidden_multiplier,st_net_layers,encoder_layers,encoder_size,normalized,z_score,time_features,AUC_ROC,AUC_PR,Precision,Recall,F,Precision_at_k,Rprecision,Rrecall,RF,R_AUC_ROC,R_AUC_PR,VUS_ROC,VUS_PR,Affiliation_Precision,Affiliation_Recall,sliding_window,dataset_full,path
2-sine-one-channel-frequency-anomaly,tcNF-stateless,39,14,2,12,4,2,0,True,False,,0.1002129925452609,0.0062175516490394,0.0095642933049946,0.9,0.0189274447949526,0.9,0.0084924879042526,0.56,0.0167312438688985,0.7043133674673698,0.1520374935279183,0.5196087251052751,0.0695843266210546,0.5014237566260988,0.9430979978925184,209.0,2-sine-one-channel-frequency-anomaly-no-anomaly,../results/TFselfopt-fsb/run-20241102_072005-lvau3cl8
2-sine-one-channel-mean-anomaly,RealNVP,1,7,2,50,8,0,0,True,False,,0.9135490394337716,0.0625916737271489,0.0378151260504201,0.9,0.0725806451612903,0.9,0.054054054054054,0.56,0.0985915492957746,0.7236272459489618,0.0994267928483406,0.7476170174380024,0.065050777766774,0.6032898570212003,0.9982482482482484,125.0,2-sine-one-channel-mean-anomaly-no-anomaly,../results/TFselfopt-fsb/run-20241031_003538-gtm4nh3o
2-sine-one-channel-mean-anomaly,tcNF-base,45,20,2,29,6,0,0,True,False,,0.8958466453674121,0.3728147332225633,0.0277777777777777,0.9,0.0538922155688622,0.9,0.0015306122448979,0.9200000000000002,0.0030561399623518,0.9204535541479844,0.4870723617093591,0.9255439291244788,0.3894145270191944,0.9478983725559068,0.998840885142255,125.0,2-sine-one-channel-mean-anomaly-no-anomaly,../results/TFselfopt-fsb/run-20241031_015609-yyykm0jn
2-sine-one-channel-mean-anomaly,tcNF-cnn,12,3,2,22,6,2,6,True,False,,0.8744408945686902,0.1195276393028486,0.05,0.8,0.0941176470588235,0.8,0.0193704600484261,0.52,0.037349613934279,0.7673537077702893,0.3316880446919594,0.8641376574468663,0.4379074061698962,0.9799789251844048,0.9894625922023182,125.0,2-sine-one-channel-mean-anomaly-no-anomaly,../results/TFselfopt-fsb/run-20241031_121532-zf2awuds
2-sine-one-channel-mean-anomaly,tcNF-mlp,13,15,2,19,5,4,0,True,False,,0.8029818956336529,0.0555896578995165,0.0261437908496732,0.8,0.050632911392405,0.8,0.0138888888888888,0.52,0.0270551508844953,0.7556593507035185,0.3272051006825402,0.8383876112779732,0.397064379307427,0.982218124341412,0.9965226554267652,125.0,2-sine-one-channel-mean-anomaly-no-anomaly,../results/TFselfopt-fsb/run-20241031_223812-2xoeb2hz
2-sine-one-channel-mean-anomaly,tcNF-stateless,1,7,2,43,5,1,0,True,False,,0.667199148029819,0.039081158464386,0.0248756218905472,0.5,0.0473933649289099,0.5,0.0236486486486486,0.3,0.0438413361169102,0.6662546564275847,0.1141379193180817,0.6842659387237092,0.1044714442400734,0.5387249736564805,0.9894625922023182,125.0,2-sine-one-channel-mean-anomaly-no-anomaly,../results/TFselfopt-fsb/run-20241102_072334-zmgkxhkb
2-sine-short-5-anomalies-one-channel,RealNVP,1,12,2,49,8,0,0,True,False,,0.9700526870389884,0.886690386719206,0.6615384615384615,0.86,0.7478260869565218,0.86,0.2083333333333333,0.8880000000000002,0.3374885983581636,0.8663234063083807,0.6880918090108429,0.8089574406179798,0.5783493226099599,1.0,0.971523581499639,125.0,2-sine-short-5-anomalies-one-channel-no-anomaly,../results/TFselfopt-fsb/run-20241030_171600-vso1cxle
2-sine-short-5-anomalies-one-channel,tcNF-base,30,20,2,4,4,0,0,True,False,,0.9836707452725252,0.8358054323061829,0.3333333333333333,0.98,0.4974619289340101,0.98,0.2267670601003934,0.912,0.3632201282557757,0.964640051433406,0.9126778565179134,0.9777865632748084,0.8972479372687707,0.9953843860373376,0.7809991894867133,125.0,2-sine-short-5-anomalies-one-channel-no-anomaly,../results/TFselfopt-fsb/run-20241030_224545-x38x5043
2-sine-short-5-anomalies-one-channel,tcNF-cnn,51,16,2,37,4,2,4,True,False,,0.9454060066740824,0.4521690542304152,0.2677595628415301,0.98,0.4206008583690987,0.98,0.2567742374727669,0.912,0.4007242751714399,0.9784665510277504,0.912689748373854,0.9501372179888392,0.6788394351809538,0.7867933769728731,0.5993984690300269,125.0,2-sine-short-5-anomalies-one-channel-no-anomaly,../results/TFselfopt-fsb/run-20241031_080619-vfh411kh
2-sine-short-5-anomalies-one-channel,tcNF-mlp,45,7,2,18,4,6,0,True,False,,0.9907675194660734,0.9329472059321684,0.4528301886792453,0.96,0.6153846153846154,0.96,0.2668219461697723,0.904,0.4120302666456826,0.9261820898263876,0.830973213314023,0.9387990310321872,0.8144475245533201,1.0,0.5962220188631784,125.0,2-sine-short-5-anomalies-one-channel-no-anomaly,../results/TFselfopt-fsb/run-20241031_165326-6zw25cld
2-sine-short-5-anomalies-one-channel,tcNF-stateless,8,13,2,20,5,8,0,True,False,,0.9746829810901,0.9180036319650235,0.6764705882352942,0.92,0.7796610169491526,0.92,0.3598484848484848,0.936,0.5198419194163177,0.8732357519386736,0.7314227886908089,0.8574782532053085,0.692714552203154,1.0,0.7807659533351098,125.0,2-sine-short-5-anomalies-one-channel-no-anomaly,../results/TFselfopt-fsb/run-20241102_093311-ofvdqo1v
