id,name,dataset,model_type,past,coupling_layers,test.ROC_AUC,test.RANGE_PR_AUC,test.F1Score_PercentileThresholding(percentile=90),test.AVERAGE_PRECISION,test.FIXED_RANGE_PR_AUC,test.PR_AUC,train.ROC_AUC,train.RANGE_PR_AUC,train.F1Score_PercentileThresholding(percentile=90),train.AVERAGE_PRECISION,train.FIXED_RANGE_PR_AUC,train.PR_AUC
-,-,2-cbf-all-channel-middle-platform-anomaly,gdn,-1,-1,0.3911495422177009,0.0176719114219114,0.0,0.0024399420478666,0.0176719114219114,0.0015981858499545,,,0.0,-0.0,,0.5
-,-,2-cbf-all-channel-middle-platform-anomaly,hbos,-1,-1,0.7464929859719439,0.1324404761904762,0.0,0.0057254339863035,0.1324404761904762,0.0037016431676484,0.8274048096192385,0.5180966259443703,0.017391304347826,0.5028571428571429,0.5180966259443703,0.5021595655806183
-,-,2-cbf-all-channel-middle-platform-anomaly,health_esn,-1,-1,0.6382765531062125,0.0054951690821256,0.0,0.0041014196929076,0.0054951690821256,0.0027227528572065,0.9273547094188376,0.007129021118629,0.0392156862745098,0.0201131999191429,0.007129021118629,0.0126607666262381
-,-,2-cbf-all-channel-middle-platform-anomaly,hif,-1,-1,0.8587174348697395,0.0994749930920143,0.0196078431372549,0.0108390791165127,0.0994749930920143,0.0066821658208826,0.9639278557114228,0.0659722222222222,0.0392156862745098,0.0978260869565217,0.0659722222222222,0.0525895140664961
-,-,2-cbf-all-channel-middle-platform-anomaly,hybrid_knn,-1,-1,0.4085671342685371,0.0185077744792198,0.0,0.0024532142201981,0.0185077744792198,0.0015921041861224,0.4038076152304609,0.0027712319042964,0.0,0.0026148110489747,0.0027712319042964,0.0016043176385016
-,-,2-cbf-all-channel-middle-platform-anomaly,if_lof,-1,-1,0.9829659318637274,0.5767045454545454,0.0392156862745098,0.5277777777777778,0.5767045454545454,0.5210317460317461,0.9884769539078156,0.1009615384615384,0.0392156862745098,0.1240601503759398,0.1009615384615384,0.0759189640768588
-,-,2-cbf-all-channel-middle-platform-anomaly,iforest,-1,-1,0.8967935871743488,0.1566558441558441,0.0196078431372549,0.0505050505050505,0.1566558441558441,0.0265215607855201,0.9719438877755512,0.0943790584415584,0.0392156862745098,0.0662878787878787,0.0943790584415584,0.0384630883301096
-,-,2-cbf-all-channel-middle-platform-anomaly,kmeans,-1,-1,0.9919839679358716,0.7908163265306123,0.0392156862745098,0.5555555555555556,0.7908163265306123,0.5424836601307189,0.682865731462926,0.0141144527986633,0.0196078431372549,0.251577287066246,0.0141144527986633,0.1261835882408639
-,-,2-cbf-all-channel-middle-platform-anomaly,knn,-1,-1,0.9859719438877756,0.375,0.0392156862745098,0.113095238095238,0.375,0.0674171842650103,0.8151302605210421,0.1347222222222222,0.0196078431372549,0.0127403846153846,0.1347222222222222,0.0071538913672534
-,-,2-cbf-all-channel-middle-platform-anomaly,lstm-vae,-1,-1,,0.501,0.0,,0.501,,,0.501,0.0,,0.501,
-,-,2-cbf-all-channel-middle-platform-anomaly,lstm_ad,-1,-1,0.8817635270541082,0.03125,0.0196078431372549,0.0123043347381095,0.03125,0.0078188340357214,0.7655310621242485,0.0028990636658703,0.0196078431372549,0.0116573407940314,0.0028990636658703,0.0064296319354772
-,-,2-cbf-all-channel-middle-platform-anomaly,mstamp,-1,-1,0.7454909819639279,0.0204083333333333,0.0,0.0057508479802651,0.0204083333333333,0.0037845148992235,0.5230460921843687,0.0008412035819691,0.0,0.0031054405392392,0.0008412035819691,0.0019565974909443
-,-,2-cbf-all-channel-middle-platform-anomaly,multi_subsequence_lof,-1,-1,0.6207414829659319,0.0026071213524968,0.0,0.0044189974895241,0.0026071213524968,0.002646561681825,0.6307615230460922,0.0021826190775089,0.0,0.0039630633155813,0.0021826190775089,0.0025238310070314
-,-,2-cbf-all-channel-middle-platform-anomaly,normalizing_flows,-1,-1,,0.501,0.0,,0.501,,,0.501,0.0,,0.501,
-,-,2-cbf-all-channel-middle-platform-anomaly,omni,-1,-1,0.3292939936775553,0.0009395178058184,0.0,0.0023072991637429,0.0009395178058184,0.0015202184968274,0.178609062170706,0.0007893230649642,0.0,0.0018658067950746,0.0007893230649642,0.001208233794013
-,-,2-cbf-all-channel-middle-platform-anomaly,pca,-1,-1,0.5546092184368738,0.0054227266398319,0.0,0.0034024206534725,0.0054227266398319,0.0021097070587624,0.7665330661322646,0.0105820105820105,0.0,0.0062519784742006,0.0105820105820105,0.0041943653054764
-,-,2-cbf-all-channel-middle-platform-anomaly,pcc,-1,-1,0.7960921843687375,0.230813953488372,0.0196078431372549,0.0173654568210262,0.230813953488372,0.0093493950771798,0.9288577154308616,0.1570216049382716,0.0196078431372549,0.0356517935258092,0.1570216049382716,0.0198100237470316
-,-,2-cbf-all-channel-middle-platform-anomaly,random_black_forest,-1,-1,0.9163326653306612,0.1202380952380952,0.0196078431372549,0.089430894308943,0.1202380952380952,0.0462491894857598,0.9549098196392786,0.5351751207729468,0.0392156862745098,0.5108695652173914,0.5351751207729468,0.5081820353559484
-,-,2-cbf-all-channel-middle-platform-anomaly,robust_pca,-1,-1,0.5210420841683366,0.1256163107725607,0.0196078431372549,0.0101971037811745,0.1253372929154179,0.005375406818605,0.5095190380761523,0.0838709854275827,0.0196078431372549,0.1676881171263193,0.0838709854275827,0.084099682285041
-,-,2-cbf-all-channel-middle-platform-anomaly,subsequence_knn,-1,-1,0.8466933867735471,0.0086571218739425,0.0196078431372549,0.0115023187698315,0.0086571218739425,0.0067928260515824,0.2980961923847695,0.0021144636015325,0.0,0.0021181793811585,0.0021144636015325,0.001405830328582
-,-,2-cbf-all-channel-middle-platform-anomaly,tanogan,-1,-1,0.4914829659318637,0.001,0.0039920159680638,0.002,0.001,0.001,0.4914829659318637,0.001,0.0039920159680638,0.002,0.001,0.001
-,-,2-cbf-all-channel-middle-platform-anomaly,telemanom,-1,-1,0.5290581162324649,0.0025221510072272,0.0,0.0031050864272904,0.0025221510072272,0.0019813596801975,0.5420841683366734,0.0013631680709531,0.0,0.0033440715185428,0.0013552945373224,0.0020669804670123
-,-,2-cbf-all-channel-middle-platform-anomaly,usad,-1,-1,0.520746887966805,0.451770544052124,0.0,0.0253788124668685,0.3648813962936401,0.0243397973204596,0.6918222683264177,0.0557216219604015,0.016260162601626,0.0375465480858397,0.0816743075847625,0.035719681998603
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,autoencoder,-1,-1,0.7788898999090083,0.0047169811320754,0.0,0.0040983606557377,0.0047169811320754,0.0020491803278688,0.7879890809827116,0.0142857142857142,0.0,0.0042735042735042,0.0142857142857142,0.0021367521367521
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,cblof,-1,-1,0.7424931756141947,0.0022935779816513,0.0,0.0035211267605633,0.0022935779816513,0.0017605633802816,0.0336669699727024,0.0003581661891117,0.0,0.0009407337723424,0.0003581661891117,0.0004703668861712
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,cof,-1,-1,0.9208371246587806,0.0013888888888888,0.018018018018018,0.0113636363636363,0.0013888888888888,0.0056818181818181,0.0382165605095541,0.0003229974160206,0.0,0.0009451795841209,0.0003229974160206,0.0004725897920604
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,copod,-1,-1,0.751592356687898,0.0021186440677966,0.0,0.0036496350364963,0.0021186440677966,0.0018248175182481,0.7643312101910829,0.0116279069767441,0.0,0.0038461538461538,0.0116279069767441,0.0019230769230769
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,dae,-1,-1,0.7743403093721565,0.0018115942028985,0.0,0.0040160642570281,0.0018115942028985,0.002008032128514,0.6123748862602366,0.0060975609756097,0.0,0.0023419203747072,0.0060975609756097,0.0011709601873536
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,damp,-1,-1,0.4849863512283894,0.0138888888888888,0.0,0.001763668430335,0.0138888888888888,0.0008818342151675,0.6096451319381255,0.0064102564102564,0.0,0.0023255813953488,0.0064102564102564,0.0011627906976744
