id,dataset,model_type,past,coupling_layers,sliding_window,VUS_ROC,AUC_ROC,RANGE_PR_AUC,F,AUC_PR,Precision,Recall,Precision_at_k,Rprecision,Rrecall,RF,R_AUC_ROC,R_AUC_PR,VUS_PR,Affiliation_Precision,Affiliation_Recall
-,2-rw-one-channels-trend-anomaly,damp,-1,-1,125,0.7154985677835868,0.6763111111111111,0.1597908173009376,0.0,0.13304704289717045,0.0,0.0,0.0,0.0,0.0,0.0,0.758300729720415,0.25637059451878086,0.18862406768638248,0.6040132605304213,1.0
-,2-rw-one-channels-trend-anomaly,pcc,-1,-1,125,0.16468503534844722,0.06694999999999998,0.148786009326608,0.0,0.05402777935796196,0.0,0.0,0.0,0.0,0.0,0.0,0.27183006058444836,0.09944375500120775,0.07456428970012814,0.22763076923076922,0.474
-,2-rw-one-channels-trend-anomaly,usad,-1,-1,125,0.27735168761362755,0.13089444444444448,0.0938356816768646,0.0,0.055886343318760016,0.0,0.0,0.0,0.0,0.0,0.0,0.4531716550242135,0.1279944225188265,0.08535443439136503,0.30544444444444446,0.436
-,2-rw-one-channels-trend-anomaly,if_lof,-1,-1,125,0.6518745452212251,0.6493444444444445,0.2758802202083257,0.0,0.32867455143279833,0.0,0.0,0.0,0.0,0.0,0.0,0.6506856541544495,0.3251801532034436,0.3240684188115069,0.4632979729729729,0.9957849999999999
-,2-rw-one-channels-trend-anomaly,tanogan,-1,-1,125,0.5056670324761435,0.4905555555555556,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5214799664110668,0.10337111981790108,0.07661459994875487,0.352,0.35400000000000004
-,2-rw-one-channels-trend-anomaly,dae,-1,-1,125,0.4232617805189896,0.33289444444444444,0.0773166627140448,0.0,0.07136938129903964,0.0,0.0,0.0,0.0,0.0,0.0,0.5080765233359822,0.14942910213473187,0.10714752743185162,0.518550925925926,0.9564400000000001
-,2-rw-one-channels-trend-anomaly,telemanom,-1,-1,125,0.47462269728019746,0.39031111111111116,0.0651961441947632,0.0,0.07590319103185557,0.0,0.0,0.0,0.0,0.0,0.0,0.5434630128437336,0.15650011990802876,0.1138335059993059,0.3937013888888889,0.92256
-,2-rw-one-channels-trend-anomaly,copod,-1,-1,125,0.22284918642119533,0.13805555555555554,0.1803347776291731,0.0,0.056989287699198296,0.0,0.0,0.0,0.0,0.0,0.0,0.3216788598429265,0.10512738694266682,0.07837080325256698,0.1523513513513513,0.46399999999999997
-,2-rw-one-channels-trend-anomaly,kmeans,-1,-1,125,0.8506011419025683,0.8631,0.2703006261698581,0.018691588785046728,0.3493398851935501,0.14285714285714285,0.01,0.01,0.3333333333333333,0.20800000000000002,0.25615763546798026,0.8170417672055229,0.3614283191705724,0.3628459814875561,0.5848367346938774,0.994445
-,2-rw-one-channels-trend-anomaly,omni,-1,-1,125,0.8719813346952255,0.8172777777777778,0.3739773035049438,0.0,0.45312618074265754,0.0,0.0,0.0,0.0,0.0,0.0,0.9039705467837462,0.6781500895990127,0.6219932680688344,0.5701798780487805,1.0
-,2-rw-one-channels-trend-anomaly,cblof,-1,-1,125,0.8047275445979483,0.8407555555555555,0.4463597537423215,0.35384615384615387,0.5600156322289135,0.7666666666666667,0.23,0.23,0.5,0.384,0.4343891402714932,0.7923939052724934,0.4794470261971107,0.504053833703061,0.6497430555555556,0.9884700000000001
-,2-saw-all-no-anomaly,hybrid_knn,-1,-1,125,0.35276460395456044,0.31774579015187393,0.2613307108399766,0.0,0.06895337331944028,0.0,0.0,0.0,0.0,0.0,0.0,0.42180891691805106,0.10003232962819157,0.08160054675641037,0.4577574626865672,0.9554108910891089
-,2-saw-all-no-anomaly,subsequence_knn,-1,-1,125,0.9378794376298771,0.9512714897741164,0.9305652596887828,0.7682926829268292,0.9399317479110219,1.0,0.6237623762376238,0.6237623762376238,1.0,0.699009900990099,0.8228438228438228,0.9091903616911452,0.8058949146710066,0.8691591908042166,1.0,0.9967920792079208
-,2-saw-all-no-anomaly,pca,-1,-1,125,0.9795889351460708,0.9891628762431304,,0.421875,0.9255158345504879,1.0,0.26732673267326734,0.26732673267326734,1.0,0.4138613861386139,0.5854341736694678,0.9633609883773309,0.8421177605352022,0.8876008438183557,1.0,0.9695742574257425
-,2-saw-all-no-anomaly,health_esn,-1,-1,125,0.9140181242992915,0.8980715646648091,0.2540635976486211,0.21238938053097342,0.4593293031803679,1.0,0.1188118811881188,0.1188118811881188,1.0,0.2950495049504951,0.4556574923547401,0.906044960667147,0.49208168234958977,0.4915614897011337,1.0,0.9411410891089109
-,2-saw-all-no-anomaly,fast_mcd,-1,-1,125,0.9531756937079011,0.9449883809293053,0.5051971479409194,0.3305785123966942,0.6535459300640645,1.0,0.19801980198019803,0.19801980198019803,1.0,0.35841584158415846,0.5276967930029155,0.9464694301909122,0.67399386690592,0.6837419003984035,1.0,0.9645123762376238
-,2-saw-all-no-anomaly,autoencoder,-1,-1,125,0.9420269195910563,0.9301534157865174,0.4493974377362464,0.05769230769230769,0.5816335668969865,1.0,0.0297029702970297,0.0297029702970297,1.0,0.22376237623762377,0.36569579288025894,0.935568831880222,0.6154327377974553,0.6199150563550077,0.6529162436548224,0.9973811881188119
-,2-saw-all-no-anomaly,robust_pca,-1,-1,125,0.6010435131758478,0.46329805394332535,0.1366652003764492,0.0,0.09116025755747191,0.0,0.0,0.0,0.0,0.0,0.0,0.6612284921100311,0.17514443551278416,0.1468638199835242,0.5215923913043479,0.9777772277227721
-,2-saw-all-no-anomaly,encdec_ad,-1,-1,125,0.5713649598032869,0.546922322933072,0.1528045958673131,0.0,0.14147825124803187,0.0,0.0,0.0,0.0,0.0,0.0,0.5786221088528523,0.15916835014014877,0.14952612943215374,0.49852127659574463,0.973980198019802
-,2-saw-all-no-anomaly,knn,-1,-1,125,0.9591871241676019,0.974382977786099,0.759911199992547,0.46969696969696967,0.8916146441201787,1.0,0.3069306930693069,0.3069306930693069,1.0,0.44554455445544555,0.6164383561643836,0.949133250539276,0.8034494133555228,0.8406813354270054,1.0,0.9646361386138613
-,2-saw-all-no-anomaly,hif,-1,-1,125,0.9069205466747501,0.8931596162953336,0.2403490030746015,0.0,0.3315336115035771,0.0,0.0,0.0,0.0,0.0,0.0,0.8998101175612172,0.4057235761145468,0.39307635139188124,0.6089002932551321,1.0
-,2-saw-all-no-anomaly,multi_subsequence_lof,-1,-1,125,0.9445211020139104,0.9646582010815097,0.9227460739186982,0.7682926829268292,0.9500526138358025,1.0,0.6237623762376238,0.6237623762376238,1.0,0.699009900990099,0.8228438228438228,0.8979993387425477,0.8145757544439587,0.8860671214722051,1.0,0.9933069306930693
-,2-saw-all-no-anomaly,hbos,-1,-1,125,0.6483855753636236,0.6603321622484829,0.1370233077475562,0.0,0.25800596631812417,0.0,0.0,0.0,0.0,0.0,0.0,0.6509698316412422,0.24205754760972728,0.24015196407090283,0.6205219298245613,0.9799034653465346
-,2-saw-all-no-anomaly,random_black_forest,-1,-1,125,0.9802859307979211,0.980946926728268,0.6794740999166734,0.46969696969696967,0.854034630561549,1.0,0.3069306930693069,0.3069306930693069,1.0,0.44554455445544555,0.6164383561643836,0.9733238454641713,0.8314004478142276,0.8546071759364254,0.911560606060606,0.9943960396039604
-,2-saw-all-no-anomaly,mstamp,-1,-1,125,0.9330005243895532,0.9267282679324662,0.7675788907108176,0.8323699421965318,0.8410005273109198,1.0,0.7128712871287128,0.7128712871287128,1.0,0.7702970297029703,0.8702460850111857,0.9198138391009607,0.7679081323562945,0.8103726990363869,1.0,0.9967153465346534
-,2-saw-all-no-anomaly,deepnap,-1,-1,125,0.6935485561798408,0.6468353175695768,0.1382693526198393,0.0,0.13052349475026148,0.0,0.0,0.0,0.0,0.0,0.0,0.6810951959547948,0.17462771219675652,0.1640810075752744,0.5378009708737865,0.9920742574257426
-,2-saw-all-no-anomaly,lstm_ad,-1,-1,125,0.9833304212686518,0.999581493188251,0.9504950495049505,0.5467625899280576,0.9966942732719013,1.0,0.37623762376237624,0.37623762376237624,1.0,0.35049504950495053,0.5190615835777126,0.9518838164392087,0.8793380122371277,0.9448293359412008,1.0,0.9982079207920792
-,2-saw-all-no-anomaly,cof,-1,-1,125,0.861462090997928,0.8454498397559445,0.3506368210496333,0.25862068965517243,0.5589266349916883,1.0,0.1485148514851485,0.1485148514851485,1.0,0.2594059405940594,0.4119496855345912,0.8829989075230262,0.5760693136244602,0.5584496830252185,0.8346951219512194,0.9861856435643563
-,2-saw-all-no-anomaly,iforest,-1,-1,125,0.902119339824084,0.9278846683333517,0.3644654619054298,0.375,0.611387068265507,0.8888888888888888,0.2376237623762376,0.2376237623762376,0.75,0.2633663366336634,0.38983878847093306,0.8605624137437317,0.5409195554261876,0.5785215398292812,0.7447864077669902,0.9892227722772278
-,2-saw-all-no-anomaly,multi_hmm,-1,-1,125,0.655981995422542,0.6812685161730857,0.1993689174742717,0.0,0.18575345245863445,0.0,0.0,0.0,0.0,0.0,0.0,0.6707355166939963,0.1815869075366604,0.16602520801968,0.5034433497536945,0.9995148514851484
-,2-saw-all-no-anomaly,gdn,-1,-1,125,0.8810858110757029,0.8762981971167083,0.0239649320217238,0.16,0.43520490579779403,0.4166666666666667,0.09900990099009901,0.09900990099009901,0.125,0.27920792079207923,0.1726883037354562,0.8608495036322845,0.4260294595762164,0.43739396999892377,0.6601509433962264,0.9679331683168317
-,2-saw-all-no-anomaly,deepant,-1,-1,125,0.8907058761180208,0.8742717430808709,0.2334998365673629,0.08771929824561404,0.39617143569929564,0.38461538461538464,0.04950495049504951,0.04950495049504951,0.2,0.23960396039603962,0.218018018018018,0.8607698934666488,0.41849884280495936,0.4298327158619191,0.6071181818181818,0.9791806930693069
-,2-saw-all-no-anomaly,damp,-1,-1,125,0.8924954854532354,0.8854502802894305,0.7877426415181101,0.7453416149068323,0.8285295137934284,1.0,0.594059405940594,0.594059405940594,1.0,0.4376237623762376,0.6088154269972452,0.8800507973670787,0.7330487737244376,0.7798372475418589,1.0,0.9967153465346534
-,2-saw-all-no-anomaly,pcc,-1,-1,125,0.6120452561571254,0.5372305862399366,0.1954574594338484,0.0,0.10137122403240575,0.0,0.0,0.0,0.0,0.0,0.0,0.6110451748205433,0.14629025838414755,0.13362567455979474,0.5092623529411765,0.9918960396039604
-,2-saw-all-no-anomaly,usad,-1,-1,125,0.6222328131307294,0.5999735679908369,0.0563451535999774,0.0,0.12515113880509388,0.0,0.0,0.0,0.0,0.0,0.0,0.599009665011359,0.14695182351154618,0.14097142490698922,0.5344405594405595,0.9758737623762376
-,2-saw-all-no-anomaly,if_lof,-1,-1,125,0.9205880193913304,0.9646251610700558,0.6886673322146647,0.3305785123966942,0.8655771915368633,1.0,0.19801980198019803,0.19801980198019803,1.0,0.27920792079207923,0.4365325077399381,0.8622159702034207,0.7354625785866118,0.7980548284828356,1.0,0.9875074257425742
-,2-saw-all-no-anomaly,tanogan,-1,-1,125,0.5811830231425384,0.5841584158415841,0.6261584158415843,0.25862068965517243,0.2523168316831684,1.0,0.1485148514851485,0.1485148514851485,1.0,0.2297029702970297,0.37359098228663445,0.5798291392466862,0.6334788908593988,0.6290666192288438,1.0,0.93009900990099
-,2-saw-all-no-anomaly,dae,-1,-1,125,0.9456193548618822,0.9353957642705316,0.462759695747365,0.05769230769230769,0.5945900495871517,1.0,0.0297029702970297,0.0297029702970297,1.0,0.22376237623762377,0.36569579288025894,0.9392783438647233,0.6260926379451777,0.6308574166766501,0.6604591836734693,0.9981930693069307
-,2-saw-all-no-anomaly,telemanom,-1,-1,125,0.5498960190648368,0.5355455456557892,0.1890903147589281,0.0,0.11048927396886221,0.0,0.0,0.0,0.0,0.0,0.0,0.58498865451941,0.14129202996882873,0.12147977845279471,0.4426822033898305,0.9707772277227723
-,2-saw-all-no-anomaly,copod,-1,-1,125,0.619039944122396,0.6091366645007104,0.1809985253365701,0.0,0.12618786811516178,0.0,0.0,0.0,0.0,0.0,0.0,0.5986853635703359,0.1455280020827654,0.13879119495168635,0.4591397058823529,0.9634801980198019
