id,dataset,model_type,past,coupling_layers,sliding_window,VUS_ROC,AUC_ROC,RANGE_PR_AUC,F,AUC_PR,Precision,Recall,Precision_at_k,Rprecision,Rrecall,RF,R_AUC_ROC,R_AUC_PR,VUS_PR,Affiliation_Precision,Affiliation_Recall
-,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,usad,-1,-1,125,0.3408886016734024,0.32775641076265766,0,0.0,8.160866043739799e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.34649369200990476,0.0003023197530691268,0.00019160171099143395,0.5507540469296514,0.9013819095477387
-,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,if_lof,-1,-1,125,0.9980095592156598,0.9999932991253684,0,0.5,0.9539708204680983,1.0,0.3333333333333333,0.3333333333333333,1.0,0.4666666666666667,0.6363636363636364,0.9889313359790866,0.5455383588987747,0.5476011990965566,1.0,0.9999940177075854
-,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,tanogan,-1,-1,125,0.49203230416377025,0.49000648309620615,0,0.0,0.00010552763819095478,0.0,0.0,0.0,0.0,0.0,0.0,0.4920984819857587,0.0003209604010949802,0.0001865055273806778,0.33838437616378325,0.356537688442211
-,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,dae,-1,-1,125,0.5633559212405562,0.5580024118362334,0,0.0,0.0001244520160455397,0.0,0.0,0.0,0.0,0.0,0.0,0.566907415592488,0.0004275891198954467,0.0002721873649029152,0.5220141053259825,1.0
-,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,telemanom,-1,-1,125,0.5972017662333143,0.5972161694976665,0,0.0,0.00013718255711037272,0.0,0.0,0.0,0.0,0.0,0.0,0.5983418221647012,0.0006412116304556274,0.00041395797779515903,0.38177239912722327,0.8755929648241205
-,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,copod,-1,-1,125,0.49078784331060765,0.46892983921012005,0,0.0,0.0001013291099410364,0.0,0.0,0.0,0.0,0.0,0.0,0.5010794330653073,0.00036783540725160316,0.00023075062776949296,0.6470142218786239,0.8643467336683417
-,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,kmeans,-1,-1,125,0.29379271909287075,0.2925539641776028,0,0.0,7.813245020193592e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.29714355508898216,0.00028700713169226336,0.000196501334486527,0.5221153414070722,0.981391959798995
-,4-lotka_volterra-3-prey-2-predator-300-cooldown-short-no-anomaly,cblof,-1,-1,125,0.3351574725889241,0.3331095719840261,0,0.0,8.284712871523228e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.33813482016742497,0.0002911415851980475,0.00019269574657969092,0.7377994769505254,0.9395427135678392
-,4-lotka_volterra-3-prey-2-predator-300-cooldown-short,hybrid_knn,-1,-1,125,0.4719420699262756,0.47184627523507505,0,0.0,0.00010552763819095478,0.0,0.0,0.0,0.0,0.0,0.0,0.4720055456331106,0.0003209604010949802,0.0001865055273806778,0.639777245743175,0.740075376884422
-,4-lotka_volterra-3-prey-2-predator-300-cooldown-short,subsequence_knn,-1,-1,125,0.651757062848839,0.48081479763717583,0,0.0,9.699012360187173e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.7337111920251329,0.0007443164649238549,0.00038380186394676457,0.7826840793769291,0.9322763819095476
